Unnamed: 0,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5,tmp_cluster,cluster_kmeans,cluster_label,leader,pca1,pca2
0,AAT,590292.0,-0.0452860460753171,-27900.0,3510.0,0.0415430267062315,140.0,43.243496620879306,44400.0,126360.8,-0.8301310745357299,0.0035942689652729,0.004023874095101,0.0203488372093023,0.0189165816551102,126360.8,1,0,Báo bão,,-0.9186255647714303,-0.2535672876249457
1,AAM,99486.0,0.0020143826924239,100.0,7250.0,-0.0136054421768707,-100.0,76.61592523751192,4300.0,2643.2,1.5102159953298306,0.026095577435875,0.0344172583886617,-0.0176151761517615,-0.126373192128349,2643.2,1,0,Báo bão,,-1.58267262984789,0.39075801662001214
2,ACC,7848711.0,0.0,4225649.702883841,14000.0,0.0071942446043165,100.0,27.386127875257507,6400.0,6066.6,0.3000203128173877,-0.0450570269403807,-0.0644912341490013,-0.0175438596491228,-0.0256259022975541,33987.4,1,0,Báo bão,,-1.6612436310767644,0.3451138103094037
3,ABT,278364.0,0.0446981467720506,16030.0,69300.0,0.1360655737704919,6857.3644307669665,1843.095222716396,6000.0,28802.8,-0.7892370380778417,0.2112622481548825,0.3217926244614244,0.062883435582822,-0.1055946123099464,28802.8,0,2,Tiềm năng,,3.7666366449067445,-3.5629883181197304
4,ABR,9686400.0,0.0,0.0,13000.0,0.015625,200.0,141.42135623730704,100.0,1056.8,-0.8810939357907254,0.0316493927986129,0.0437540078592801,0.015625,0.0007438631291842,1056.8,1,0,Báo bão,,-0.9764742137379058,-0.11445958159517429
5,AAA,9250185.0,-0.0827264988073204,-3550.0,8530.0,0.0935897435897434,730.0,166.52327164693855,4185100.0,6788797.8,-0.6521427618539808,0.0157815741872044,0.0196465001769095,0.0227817745803357,0.1653429894871787,6788797.8,1,0,Báo bão,AAA,0.5153312145505212,-0.02281481566140951
6,ABS,1352.0,0.0,1352.0,3890.0,0.0513513513513512,190.0,99.89994994993728,309400.0,551521.8,-0.3698972162653682,-0.0519443855613544,-0.0638901093427665,0.071625344352617,0.0,228117.2,1,0,Báo bão,,-0.6660643810067736,-0.5896912081509488
7,ACB,836634319.8744798,0.0,187401.0,23850.0,0.0483516483516484,1100.0,370.1351104664362,20022200.0,12829739.8,0.8856056607158582,0.0591634406070589,0.061172674072732,0.0369565217391304,0.1500000000373135,12829739.8,2,1,Dẫn dắt,,3.5324208777525206,3.9458696256727146
8,ACL,1072458.0,-0.004270893489487,-3800.0,11950.0,-0.0041666666666666,-50.0,285.9195691099159,55600.0,23604.4,1.6866392848514136,0.011861675711198,0.0142071457031746,0.0,-0.0552221173896152,23604.4,1,0,Báo bão,,-1.3303615771847437,0.1477042700605688
9,ADS,127841.0,0.2702675847815503,3500.0,9140.0,-0.0065217391304347,-60.0,266.96441710460107,239000.0,547188.8,-0.7590390598692157,0.0429590395033017,0.0523613216022352,-0.0635245901639344,0.2613937976694392,547188.8,1,0,Báo bão,,-1.5835872836973839,0.6274875061627677
10,ACG,58010411.0,-0.0003412015854983,-19100.0,37950.0,0.0066312997347479,250.0,255.9296778414109,6900.0,39992.4,-0.852975645095992,-0.0335735271214451,-0.04169718057448,0.0093085106382978,-0.0019435381730063,39992.4,1,0,Báo bão,,-1.2071633254403673,0.17523945763184387
11,AGR,1678182.0,-0.1857588263777766,75300.0,17950.0,0.0497076023391813,850.0,302.90262461721727,1916500.0,2539001.2,-0.2214754958752216,0.0452320699545602,0.0552574172410119,0.0198863636363636,2.006233944904825,2539001.2,1,0,Báo bão,,-0.0729057250416967,-0.2960997845350224
12,ADP,198040.0,-0.0274995089373404,-300.0,27800.0,-0.0017953321364452,-50.0,328.6335345030995,1300.0,5200.4,-0.6285714285714286,0.0219729345611285,0.0234474972139598,-0.0245614035087719,0.0399075824406637,5200.4,1,0,Báo bão,,-1.4060797255598443,0.26988244984539106
13,ANV,7665625.0,0.1540225811686699,989099.0,25150.0,0.0863930885529158,2000.0,1132.8062499827588,4148200.0,6187936.4,0.0950325194195234,0.0730165321831675,0.1152721081726906,0.1227678571428571,1.259402799957321,6187936.4,0,2,Tiềm năng,,2.107014898876089,-1.414127269579085
14,ADG,8586653.0,0.0003157057310376,4500.0,10250.0,0.0148514851485148,150.0,134.35028842544403,10300.0,16233.4,-0.3345823373602946,-0.0108213544625509,-0.0164502670140164,0.026026026026026,-0.1315158790740474,16233.4,1,0,Báo bão,,-1.11423622360377,-0.11079456125854237
15,AGG,1561581.0,-0.10314838032347,-223700.0,19900.0,0.0934065934065933,1700.0,490.6628170138838,1946100.0,2560004.2,-0.523979813476207,0.0938030321097523,0.1467204331705202,0.0231362467866323,0.4104256798865576,2560004.2,1,0,Báo bão,,0.8499728720864254,-0.9309156308592496
16,APG,65273995.0,-0.0113849615668566,-387100.0,12050.0,0.0126050420168066,150.0,65.19202405202648,579700.0,1019340.6,-0.3622514931588079,0.1530923927233649,0.2489882563468484,0.00836820083682,2.1231023661303605,1019340.6,1,0,Báo bão,,-0.3905520717413881,0.09016987052843413
17,ASG,685472.0,0.0043957847354909,0.0,17200.0,-0.0028985507246376,-50.0,65.19202405202648,3000.0,2783.6,14.0,-0.049175525048618,-0.063339143506838,-0.0057803468208092,0.0280394015381477,2783.6,1,0,Báo bão,,-1.7260741516104787,0.33518171703047567
18,APH,68719749.0,0.0014254918424108,104420.0,7100.0,0.0806697108066971,530.0,113.49008767288886,466400.0,927566.8,-0.6862396862396862,0.0039439208441348,0.0053811805522675,0.0113960113960113,0.0050323463792868,927566.8,1,0,Báo bão,,-0.30578638594529356,-0.28807098372676204
19,ASP,18290864.0,-0.0002186405977109,-3000.0,5150.0,-0.0636363636363636,-350.0,178.46568297574746,247900.0,170919.8,0.912218451095341,0.0852881556450869,0.1291544743875146,-0.0770609318996415,0.0002351453230907,170919.8,1,0,Báo bão,,-2.0825196432119837,1.1740561771688554
