,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5
0,AAT,590292.0,-0.045286046075317166,-27900.0,3510.0,0.041543026706231556,140.0,43.243496620879306,44400,126360.8,-0.8301310745357299,0.003594268965272964,0.004023874095101036,0.020348837209302327,0.018916581655110273,126360.8
1,AAM,99486.0,0.0020143826924239328,100.0,7250.0,-0.013605442176870763,-100.0,76.61592523751192,4300,2643.2,1.5102159953298306,0.026095577435875088,0.0344172583886617,-0.017615176151761516,-0.12637319212834902,2643.2
2,ACC,7848711.0,,7848711.0,14000.0,0.007194244604316502,100.0,27.386127875257507,6400,6066.6,0.3000203128173877,-0.045057026940380766,-0.06449123414900138,-0.017543859649122806,-0.025625902297554192,33987.4
3,ABT,278364.0,0.04469814677205064,16030.0,69300.0,0.1360655737704919,8300.0,1843.0952227163957,6000,28802.8,-0.7892370380778417,0.21126224815488256,0.3217926244614244,0.06288343558282208,-0.1055946123099464,28802.8
4,ABR,9686400.0,0.0,0.0,13000.0,0.015625,200.0,141.42135623730704,100,1056.8,-0.8810939357907254,0.03164939279861297,0.04375400785928014,0.015625,0.0007438631291842301,1056.8
5,AAA,9250185.0,-0.08272649880732041,-3550.0,8530.0,0.09358974358974348,730.0,166.52327164693855,4185100,6788797.8,-0.6521427618539808,0.015781574187204477,0.019646500176909568,0.022781774580335732,0.1653429894871787,6788797.8
6,ABS,1352.0,,1352.0,3890.0,0.05135135135135127,190.0,99.89994994993727,309400,551521.8,-0.3698972162653682,-0.05194438556135442,-0.06389010934276654,0.07162534435261708,0.0,228117.2
7,ACB,1540996979.0,0.0,187401.0,23850.0,0.0483516483516484,1100.0,370.13511046643623,20022200,12829739.8,0.8856056607158582,0.05916344060705892,0.061172674072732074,0.03695652173913044,0.1500000000373135,12829739.8
8,ACL,1072458.0,-0.00427089348948706,-3800.0,11950.0,-0.004166666666666652,-50.0,285.9195691099159,55600,23604.4,1.6866392848514136,0.011861675711198071,0.014207145703174669,0.0,-0.05522211738961523,23604.4
9,ADS,127841.0,0.27026758478155033,3500.0,9140.0,-0.006521739130434745,-60.0,266.96441710460107,239000,547188.8,-0.7590390598692157,0.04295903950330179,0.05236132160223521,-0.06352459016393443,0.26139379766943927,547188.8
10,ACG,58010411.0,-0.0003412015854983297,-19100.0,37950.0,0.006631299734747964,250.0,255.92967784141092,6900,39992.4,-0.852975645095992,-0.03357352712144515,-0.041697180574480075,0.009308510638297872,-0.0019435381730063305,39992.4
11,AGR,1678182.0,-0.18575882637777663,75300.0,17950.0,0.04970760233918137,850.0,302.90262461721727,1916500,2539001.2,-0.22147549587522164,0.04523206995456022,0.05525741724101194,0.019886363636363636,2.006233944904825,2539001.2
12,ADP,198040.0,-0.027499508937340433,-300.0,27800.0,-0.0017953321364452268,-50.0,328.6335345030995,1300,5200.4,-0.6285714285714286,0.021972934561128574,0.023447497213959844,-0.02456140350877193,0.039907582440663725,5200.4
13,ANV,7665625.0,0.15402258116866996,989099.0,25150.0,0.08639308855291583,2000.0,1132.8062499827588,4148200,6187936.4,0.0950325194195234,0.07301653218316752,0.11527210817269062,0.12276785714285714,1.259402799957321,6187936.4
14,ADG,8586653.0,0.0003157057310376743,4500.0,10250.0,0.014851485148514865,150.0,134.35028842544403,10300,16233.4,-0.33458233736029463,-0.010821354462550966,-0.01645026701401649,0.026026026026026026,-0.13151587907404746,16233.4
15,AGG,1561581.0,-0.10314838032347007,-223700.0,19900.0,0.0934065934065933,1700.0,490.6628170138838,1946100,2560004.2,-0.523979813476207,0.09380303210975235,0.14672043317052025,0.02313624678663239,0.4104256798865576,2560004.2
16,APG,65273995.0,-0.011384961566856644,-387100.0,12050.0,0.012605042016806678,150.0,65.19202405202648,579700,1019340.6,-0.3622514931588079,0.1530923927233649,0.24898825634684849,0.008368200836820083,2.1231023661303605,1019340.6
17,ASG,685472.0,0.00439578473549096,0.0,17200.0,-0.0028985507246376274,-50.0,65.19202405202648,3000,2783.6,14.0,-0.049175525048618086,-0.06333914350683806,-0.005780346820809248,0.028039401538147744,2783.6
18,APH,68719749.0,0.0014254918424108087,104420.0,7100.0,0.08066971080669716,530.0,113.49008767288886,466400,927566.8,-0.6862396862396862,0.003943920844134815,0.005381180552267526,0.011396011396011397,0.005032346379286816,927566.8
19,ASP,18290864.0,-0.00021864059771092847,-3000.0,5150.0,-0.0636363636363636,-350.0,178.46568297574746,247900,170919.8,0.912218451095341,0.08528815564508693,0.12915447438751462,-0.07706093189964158,0.00023514532309076763,170919.8
20,AST,20050583.0,0.0025094005648089723,38120.0,70000.0,0.09546165884194058,6100.0,2361.5672761960436,53500,50669.6,0.5313278186449895,0.11270670591770257,0.19655801913948778,0.059001512859304085,0.021913312671407593,50669.6
21,ASM,46544986.0,-0.014889782970068932,-130200.0,8230.0,0.003658536585365857,30.0,90.7193474403338,877700,2075589.6,-0.7175877482570046,-0.00507705027307065,-0.006573937515313468,0.006112469437652812,0.019493791665346073,2075589.6
22,BBC,114394.0,-0.007831947058466349,100.0,83000.0,0.0,0.0,3196.8734726291564,100,2160.0,,0.12297550882047859,0.15802704900056136,-0.06531531531531531,-0.12063465219430074,2160.0
23,BAF,12757979.0,0.06376958102601482,874100.0,35150.0,0.010057471264367734,350.0,575.9774301133682,10391900,5398084.4,0.8679236566934665,0.09898251588049059,0.14493332800120792,0.005722460658082976,1.2295583866345112,5398084.4
