,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
1071,KHW,UPCOM,STOCK,Cấp thoát nước Khánh Hòa,Công ty Cổ phần Cấp thoát nước Khánh Hòa,UPX
1072,KHS,HNX,STOCK,Thủy sản Kiên Hùng,Công ty Cổ phần Kiên Hùng,STX
1073,KHP,HSX,STOCK,Điện lực Khánh Hòa,Công ty Cổ phần Điện lực Khánh Hòa,STO
1074,KHL,UPCOM,STOCK,VLXD Hưng Long,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,UPX
1075,KHG,HSX,STOCK,Tập đoàn Khải Hoàn Land,Công ty Cổ phần Tập đoàn Khải Hoàn Land,STO
1076,KHD,UPCOM,STOCK,Khoáng sản Hải Dương,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",UPX
1077,KHB,DELISTED,STOCK,Khoáng sản Hòa Bình,Công ty Cổ phần Khoáng sản Hòa Bình,
1078,KHA,DELISTED,STOCK,Đầu tư và DV Khánh Hội,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội,
1079,KGM,UPCOM,STOCK,XNK Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,UPX
1080,KDM,HNX,STOCK,Tập đoàn GCL,Công ty Cổ phần Tập đoàn GCL,STX
1081,KDH,HSX,STOCK,Nhà Khang Điền,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,STO
1082,KDC,HSX,STOCK,Tập đoàn KIDO,Công ty Cổ phần Tập đoàn KIDO,STO
1083,KCE,DELISTED,STOCK,Bê tông Ly tâm ĐL Khánh Hòa,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,UPX
1084,KCB,UPCOM,STOCK,Khoáng Sản Luyện Kim Cao Bằng,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,UPX
1086,KBC,HSX,STOCK,TCT Đô thị Kinh Bắc,Tổng Công ty Phát triển Đô thị Kinh Bắc,STO
1087,KAC,UPCOM,STOCK,Địa ốc Khang An,Công ty Cổ phần Đầu tư Địa ốc Khang An,UPX
1088,JVC,HSX,STOCK,Đầu tư và Phát triển Y tế Việt Nhật,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,STO
1089,JOS,UPCOM,STOCK,Thủy sản Minh Hải,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,UPX
1090,IVS,HNX,STOCK,Chứng khoán Guotai Junan (Việt Nam),Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),STX
1091,ITS,UPCOM,STOCK,Thương mại và DV - Vinacomin,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",UPX
1092,ITQ,HNX,STOCK,Tập đoàn Thiên Quang,Công ty Cổ phần Tập đoàn Thiên Quang,STX
1093,ITD,HSX,STOCK,Công nghệ Tiên Phong,Công ty Cổ phần Công nghệ Tiên Phong,STO
1094,ITC,HSX,STOCK,Đầu tư kinh doanh Nhà,Công ty Cổ phần Đầu tư - Kinh doanh nhà,STO
1095,ITA,UPCOM,STOCK,Đầu tư CN Tân Tạo,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,UPX
1096,IST,UPCOM,STOCK,ICD Tân Cảng Sóng Thần,Công ty Cổ phần ICD Tân Cảng Sóng Thần,UPX
1097,ISH,UPCOM,STOCK,Thủy điện Srok Phu Miêng,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO,UPX
1098,ISG,UPCOM,STOCK,Vận tải biển và Hợp tác LĐ Quốc Tế,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,UPX
1099,IRC,UPCOM,STOCK,Cao su Công nghiệp,Công ty Cổ phần Cao su Công nghiệp,UPX
1100,IPH,DELISTED,STOCK,,,
