,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
1248,HDC,HSX,STOCK,Phát triển Nhà BR-VT,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,STO
1254,HDB,HSX,STOCK,HDBank,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,STO
1255,HDA,HNX,STOCK,Hãng sơn Đông Á,Công ty Cổ phần Hãng sơn Đông Á,STX
1256,HD8,UPCOM,STOCK,PT Nhà và Đô thị HUD8,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,UPX
1257,HD6,UPCOM,STOCK,Phát triển nhà số 6 Hà Nội,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,UPX
1258,HD2,UPCOM,STOCK,Đầu tư phát triển nhà HUD 2,Công ty Cổ phần Đầu tư phát triển nhà HUD2,UPX
1259,HCT,HNX,STOCK,TM - DV - Vận tải Xi măng Hải Phòng ,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,STX
1261,HCM,HSX,STOCK,Chứng khoán HSC,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,STO
1262,HCI,UPCOM,STOCK,Đầu tư - XD Hà Nội,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,UPX
1263,HCD,HSX,STOCK,SX và Thương mại HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,STO
1264,HCC,HNX,STOCK,Bê tông Hòa Cầm,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,STX
1265,HCB,DELISTED,STOCK,Dệt may 29/3,Công ty Cổ phần Dệt may 29/3,UPX
1266,HC3,UPCOM,STOCK,Xây dựng số 3 Hải Phòng,Công ty Cổ phần Xây dựng số 3 Hải Phòng,UPX
1267,HC1,UPCOM,STOCK,Xây dựng số 1 Hà Nội,Công ty Cổ phần Xây dựng số 1 Hà Nội,UPX
1268,HBS,HNX,STOCK,Chứng khoán Hòa Bình,Công ty Cổ phần Chứng khoán Hòa Bình,STX
1269,HBH,UPCOM,STOCK,HABECO Hải Phòng,Công ty Cổ phần HABECO - Hải Phòng,UPX
1270,HBD,UPCOM,STOCK,Bao bì PP Bình Dương,Công ty Cổ phần Bao bì PP Bình Dương,UPX
1271,HBC,UPCOM,STOCK,Tập đoàn Xây dựng Hòa Bình,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,UPX
1272,HAX,HSX,STOCK,Ô tô Hàng Xanh,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,STO
1273,HAW,DELISTED,STOCK,,,
1274,HAV,UPCOM,STOCK,Rượu Hapro,Công ty Cổ phần Rượu Hapro,UPX
1275,HAT,HNX,STOCK,TM Bia Hà Nội,Công ty Cổ phần Thương mại Bia Hà Nội,STX
1276,HAS,HSX,STOCK,Hacisco,Công ty Cổ phần Hacisco,STO
1277,HAR,HSX,STOCK,BĐS An Dương Thảo Điền,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,STO
1278,HAP,HSX,STOCK,Tập đoàn Hapaco,Công ty Cổ phần Tập Đoàn Hapaco,STO
1279,HAN,UPCOM,STOCK,Xây dựng Hà Nội,Tổng Công ty Xây dựng Hà Nội - CTCP,UPX
1280,HAM,UPCOM,STOCK,Vật tư Hậu Giang,Công ty Cổ phần Vật tư Hậu Giang,UPX
1281,HAI,UPCOM,STOCK,Nông Dược HAI,Công ty Cổ phần Nông dược HAI,UPX
1282,HAH,HSX,STOCK,Vận tải và Xếp dỡ Hải An,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,STO
1283,HAG,HSX,STOCK,Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,STO
1284,HAF,UPCOM,STOCK,Thực phẩm Hà Nội,Công ty Cổ phần Thực phẩm Hà Nội,UPX
1285,HAD,HNX,STOCK,Bia Hà Nội - Hải Dương,Công ty Cổ phần Bia Hà Nội - Hải Dương,STX
1286,HAC,UPCOM,STOCK,Chứng khoán Hải Phòng,Công ty Cổ phần Chứng khoán Hải Phòng,UPX
1287,HAB,DELISTED,STOCK,,,
1288,H11,UPCOM,STOCK,Xây dựng HUD101,Công ty Cổ phần Xây dựng HUD101,UPX
1289,GVT,UPCOM,STOCK,Giấy Việt Trì,Công ty Cổ phần Giấy Việt Trì,UPX
1290,GVR,HSX,STOCK,Tập đoàn CN Cao su VN,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,STO
1291,GTT,UPCOM,STOCK,Thuận Thảo Group,Công ty Cổ phần Thuận Thảo,UPX
1292,GTS,UPCOM,STOCK,Công trình Giao thông Sài Gòn,Công ty Cổ phần Công trình Giao thông Sài Gòn,UPX
1293,GTK,DELISTED,STOCK,,,
1294,GTH,DELISTED,STOCK,XD-GT Thừa Thiên Huế,Công ty Cổ phần Xây dựng Giao thông Thừa Thiên Huế,
1295,GTD,UPCOM,STOCK,Giầy Thượng Đình,Công ty Cổ phần Giầy Thượng Đình,UPX
1296,GTA,HSX,STOCK,Gỗ Thuận An,Công ty Cổ phần Chế biến Gỗ Thuận An,STO
1297,GSP,HSX,STOCK,Vận tải Sản phẩm Khí Quốc tế,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,STO
1298,GSM,UPCOM,STOCK,Thủy điện Hương Sơn,Công ty Cổ phần Thủy điện Hương Sơn,UPX
1299,GQN,DELISTED,STOCK,,,
1300,GPC,UPCOM,STOCK,Tập đoàn Green+,Công ty Cổ phần Tập đoàn Green+,UPX
1301,GND,UPCOM,STOCK,Gạch ngói Đồng Nai,Công ty Cổ phần Gạch ngói Đồng Nai,UPX
1302,GMX,HNX,STOCK,Gạch ngói Mỹ Xuân,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,STX
1303,GMH,HSX,STOCK,Minh Hưng Quảng Trị,Công ty Cổ phần Minh Hưng Quảng Trị,STO
1304,GMD,HSX,STOCK,Gemadept,Công ty Cổ phần Gemadept,STO
1305,GMC,UPCOM,STOCK,Garmex Sài Gòn,Công ty Cổ phần Garmex Sài Gòn,UPX
1306,GMA,HNX,STOCK,G-Automobile,Công ty Cổ phần G-Automobile,STX
1307,GLW,UPCOM,STOCK,Cấp thoát nước Gia Lai,Công ty Cổ phần Cấp thoát nước Gia Lai,UPX
1308,GLT,HNX,STOCK,KT Điện Toàn Cầu,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,STX
1311,GLC,UPCOM,STOCK,Vàng Lào Cai,Công ty Cổ phần Vàng Lào Cai,UPX
1312,GKM,HNX,STOCK,Khang Minh Group,Công ty Cổ phần GKM Holdings,STX
1313,GIL,HSX,STOCK,XNK Bình Thạnh,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,STO
1314,GIC,HNX,STOCK,ĐT Dịch vụ và PT Xanh,Công ty Cổ phần VSC Green Logistics,STX
1315,GHC,UPCOM,STOCK,Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,UPX
1316,GH3,UPCOM,STOCK,Công trình giao thông Hà Nội,Công ty Cổ phần Công trình giao thông Hà Nội,UPX
1317,GGG,UPCOM,STOCK,Ôtô Giải Phóng,Công ty Cổ phần Ô tô Giải Phóng,UPX
1318,GEX,HSX,STOCK,Tập đoàn Gelex,Công ty Cổ phần Tập đoàn Gelex,STO
1319,GER,UPCOM,STOCK,Thể thao Ngôi sao Geru,Công ty Cổ phần Thể thao Ngôi sao Geru,UPX
1321,GEG,HSX,STOCK,Điện Gia Lai,Công ty Cổ phần Điện Gia Lai,STO
1322,GEE,HSX,STOCK,Thiết bị điện GELEX,Công ty Cổ phần Điện lực Gelex,STO
1323,GE2,DELISTED,STOCK,Tổng Công ty Phát điện 2,Tổng Công ty Phát điện 2,
1324,GDW,HNX,STOCK,Cấp nước Gia Định,Công ty Cổ phần Cấp nước Gia Định,STX
1325,GDT,HSX,STOCK,Gỗ Đức Thành,Công ty Cổ phần Chế biến Gỗ Đức Thành,STO
1326,GDA,UPCOM,STOCK,Tôn Đông Á,Công ty Cổ phần Tôn Đông Á,UPX
1327,GCF,UPCOM,STOCK,Thực phẩm G.C,Công ty Cổ phần Thực phẩm G.C,UPX
1328,GCB,UPCOM,STOCK,PETEC Bình Định,Công ty Cổ phần PETEC Bình Định,UPX
1359,GAS,HSX,STOCK,PV Gas,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,STO
1360,GAB,UPCOM,STOCK,ĐT Khai khoáng và QL Tài sản FLC,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,UPX
1361,G36,UPCOM,STOCK,Tổng Công ty 36,Tổng Công ty 36 - Công ty Cổ phần,UPX
1362,G20,UPCOM,STOCK,Đầu tư Dệt may Vĩnh Phúc,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,UPX
1383,FTS,HSX,STOCK,Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,STO
1384,FTM,UPCOM,STOCK,Phát triển Đức Quân,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,UPX
1385,FTI,UPCOM,STOCK,Công nghiệp - Thương mại Hữu Nghị,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,UPX
1386,FT1,UPCOM,STOCK,Phụ tùng máy số 1,Công ty Cổ phần Phụ tùng máy số 1,UPX
1387,FSO,UPCOM,STOCK,Đóng tàu thủy sản VN,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,UPX
1388,FRT,HSX,STOCK,Bán lẻ FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,STO
1389,FRM,UPCOM,STOCK,Lâm nghiệp Sài Gòn,Công ty Cổ phần Lâm nghiệp Sài Gòn,UPX
1390,FRC,UPCOM,STOCK,Lâm đặc sản xuất khẩu Quảng Nam,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,UPX
1391,FPT,HSX,STOCK,FPT Corp,Công ty Cổ phần FPT,STO
1392,FOX,UPCOM,STOCK,FPT Telecom,Công ty Cổ phần Viễn thông FPT,UPX
1393,FOC,UPCOM,STOCK,FPT Online,Công ty Cổ phần Dịch vụ Trực tuyến FPT,UPX
1394,FMC,HSX,STOCK,Thực phẩm Sao Ta,Công ty Cổ phần Thực phẩm Sao Ta,STO
1395,FLC,UPCOM,STOCK,Tập đoàn FLC,Công ty Cổ phần Tập đoàn FLC,UPX
1396,FIT,HSX,STOCK,Tập đoàn F.I.T,Công ty Cổ phần Tập đoàn F.I.T,STO
1397,FIR,HSX,STOCK,Địa ốc First Real,Công ty Cổ phần Địa ốc First Real,STO
1398,FID,HNX,STOCK,Đầu tư và PT doanh nghiệp VN,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,STX
1399,FIC,UPCOM,STOCK,VLXD số 1,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,UPX
1400,FHS,UPCOM,STOCK,Phát hành sách TP HCM - FAHASA,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,UPX
1401,FHN,UPCOM,STOCK,XNK lương thực Hà Nội,Công ty Cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội,UPX
1402,FGL,UPCOM,STOCK,Cà Phê Gia Lai,Công ty Cổ phần Cà phê Gia Lai,UPX
1403,FDG,DELISTED,STOCK,Thủy sản Docimexco,Công ty Cổ phần Docimexco,
1404,FDC,HSX,STOCK,FIDECO,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,STO
1405,FCS,UPCOM,STOCK,Lương thực TP Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,UPX
1406,FCN,HSX,STOCK,FECON CORP,Công ty Cổ phần FECON,STO
1407,FCM,HSX,STOCK,Bê tông Phan Vũ Hà Nam,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,STO
1408,FCC,UPCOM,STOCK,Liên hợp Thực phẩm,Công ty Cổ phần Liên hợp Thực phẩm,UPX
1409,FBC,UPCOM,STOCK,Cơ khí Phổ Yên,Công ty Cổ phần Cơ khí Phổ Yên,UPX
1410,FBA,UPCOM,STOCK,Tập đoàn Quốc tế FBA,Công ty Cổ phần Tập đoàn Quốc tế FBA,UPX
1411,EVS,HNX,STOCK,Chứng khoán EVS,Công ty Cổ phần Chứng khoán EVS,STX
1412,EVG,HSX,STOCK,Tập đoàn Everland,Công ty Cổ phần Tập đoàn Everland,STO
1413,EVF,HSX,STOCK,Tài chính Điện lực,Công ty Tài chính Cổ phần Điện Lực,STO
1414,EVE,HSX,STOCK,Everpia,Công ty Cổ phần Everpia,STO
1415,EPH,DELISTED,STOCK,Xuất bản giáo dục Hà Nội,Công ty Cổ phần Dịch vụ Xuất bản Giáo dục Hà Nội,UPX
1416,EPC,UPCOM,STOCK,Cà Phê Ea Pốk,Công ty Cổ phần Cà Phê Ea Pốk,UPX
1417,EMS,UPCOM,STOCK,Chuyển phát nhanh Bưu điện,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,UPX
1418,EMG,UPCOM,STOCK,Thiết bị phụ tùng cơ điện,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,UPX
1419,EME,UPCOM,STOCK,Điện Cơ,Công ty Cổ phần Điện Cơ,UPX
1420,EMC,DELISTED,STOCK,Cơ điện Thủ Đức,Công ty Cổ phần Cơ điện Thủ Đức,
1421,ELC,HSX,STOCK,ELCOM,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,STO
1422,EIN,UPCOM,STOCK,Đầu tư - TM - DV Điện lực,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,UPX
1423,EID,HNX,STOCK,Phát triển GD Hà Nội,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,STX
1424,EIC,UPCOM,STOCK,EVN Quốc Tế,Công ty Cổ phần EVN Quốc Tế,UPX
1425,EIB,HSX,STOCK,Eximbank,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,STO
1426,EFI,UPCOM,STOCK,Tài chính giáo dục,Công ty Cổ phần Đầu tư Tài chính Giáo dục,UPX
1427,ECO,UPCOM,STOCK,Ecoplastic VN,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,UPX
1428,ECI,HNX,STOCK,Bản đồ và tranh ảnh GD,Công ty Cổ phần Tập đoàn ECI,STX
1429,EBS,HNX,STOCK,Sách Giáo dục Hà Nội,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,STX
1430,EAD,DELISTED,STOCK,Điện lực Đắk Lắk,Công ty Cổ phần Thủy điện Điện lực Đắk Lắk,
1431,E29,UPCOM,STOCK,Đầu tư XD và Kỹ thuật 29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,UPX
1433,E12,UPCOM,STOCK,XD Điện VNECO 12,Công ty Cổ phần Xây Dựng Điện VNECO 12,UPX
1434,DZM,UPCOM,STOCK,Cơ điện Dzĩ An,Công ty Cổ phần Cơ điện Dzĩ An,UPX
1435,DXV,HSX,STOCK,Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,STO
1436,DXS,HSX,STOCK,Dịch vụ BĐS Đất Xanh,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,STO
1437,DXP,HNX,STOCK,Cảng Đoạn Xá,Công ty Cổ phần Cảng Đoạn Xá,STX
1438,DXL,UPCOM,STOCK,Du lịch và Xuất nhập khẩu Lạng Sơn,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,UPX
1439,DXG,HSX,STOCK,Địa ốc Đất Xanh,Công ty Cổ phần Tập đoàn Đất Xanh,STO
1440,DX2,DELISTED,STOCK,,,
1441,DWS,UPCOM,STOCK,Cấp nước Đồng Tháp,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,UPX
1442,DWC,UPCOM,STOCK,Cấp nước Đắk Lắk,Công ty Cổ phần Cấp nước Đắk Lắk,UPX
1443,DVW,UPCOM,STOCK,DV và XD cấp nước Đồng Nai,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,UPX
1444,DVT,UPCOM,STOCK,Cổ phiếu Công ty cổ phần Đào tạo và Dịch vụ giao thông vận tải Bình Định,Cổ phiếu Công ty cổ phần Đào tạo và Dịch vụ giao thông vận tải Bình Định,UPX
1445,DVP,HSX,STOCK,ĐT và PT Cảng Đình Vũ,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,STO
1446,DVN,UPCOM,STOCK,Tổng Công ty Dược Việt Nam,Tổng Công ty Dược Việt Nam - CTCP,UPX
1447,DVM,HNX,STOCK,Dược liệu Việt Nam,Công ty Cổ phần Dược liệu Việt Nam,STX
1448,DVG,UPCOM,STOCK,Tập đoàn Sơn Đại Việt,Công ty Cổ phần Đại Việt Group DVG,UPX
1449,DVC,UPCOM,STOCK,TM dịch vụ Cảng Hải Phòng,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,UPX
1450,DUS,UPCOM,STOCK,Dịch vụ Đô thị Đà Lạt,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,UPX
1451,DTV,DELISTED,STOCK,PT điện Nông thôn Trà Vinh,Công ty Cổ phần Phát triển điện Trà Vinh,
1452,DTT,HSX,STOCK,Kỹ nghệ Đô Thành,Công ty Cổ phần Kỹ nghệ Đô Thành,STO
1453,DTP,UPCOM,STOCK,Dược phẩm CPC1 Hà Nội,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,UPX
1454,DTL,HSX,STOCK,Đại Thiên Lộc,Công ty Cổ phần Đại Thiên Lộc,STO
1455,DTK,HNX,STOCK,Vinacomin Power,Tổng Công ty Điện lực TKV - Công ty Cổ phần,STX
1456,DTI,UPCOM,STOCK,Đầu tư Đức Trung,Công ty Cổ phần Đầu tư Đức Trung,UPX
1457,DTH,UPCOM,STOCK,Vật tư Y tế Thanh Hóa,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,UPX
1458,DTG,HNX,STOCK,Dược phẩm Tipharco,Công ty Cổ phần Dược phẩm Tipharco,STX
1459,DTE,UPCOM,STOCK,Đại Trường Thành Holdings,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,UPX
1460,DTD,HNX,STOCK,Đầu tư Phát triển Thành Đạt,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,STX
1461,DTC,UPCOM,STOCK,Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,UPX
1462,DTB,UPCOM,STOCK,Công trình Đô thị Bảo Lộc,Công ty Cổ phần Công trình Đô thị Bảo Lộc,UPX
1463,DTA,HSX,STOCK,BĐS Đệ Tam,Công ty Cổ phần Đệ Tam,STO
1464,DT4,DELISTED,STOCK,Bảo trì đường thủy nội địa số 4,Công ty Cổ phần Quản lý Đường sông số 4,
1465,DSV,DELISTED,STOCK,Đường sắt Vĩnh Phú,Công ty Cổ phần Đường sắt Vĩnh Phú,
1466,DST,HNX,STOCK,Đầu tư Sao Thăng Long,Công ty Cổ phần Đầu tư Sao Thăng Long,STX
1467,DSP,UPCOM,STOCK,Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,UPX
1468,DSN,HSX,STOCK,Công viên nước Đầm Sen,Công ty Cổ phần Công viên nước Đầm Sen,STO
1469,DSH,UPCOM,STOCK,"Dong Son Invest ., Jsc",Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,UPX
1470,DSG,UPCOM,STOCK,Kính Đáp Cầu,Công ty Cổ phần Kính Đáp Cầu,UPX
1472,DSE,HSX,STOCK,Chứng Khoán DNSE,Công ty Cổ phần Chứng khoán DNSE,STO
1473,DSD,UPCOM,STOCK,DHC Suối Đôi,Công ty cổ phần DHC Suối Đôi,UPX
1474,DSC,HSX,STOCK,Chứng khoán DSC,Công ty Cổ phần Chứng khoán DSC,STO
1475,DS3,HNX,STOCK,Quản lý Đường sông số 3,Công ty Cổ phần DS3,STX
1476,DRL,HSX,STOCK,Thủy điện - Điện lực 3,Công ty Cổ phần Thủy điện - Điện lực 3,STO
1477,DRI,UPCOM,STOCK,Đầu tư Cao su Đắk Lắk,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,UPX
1478,DRH,HSX,STOCK,DRH Holdings,Công ty Cổ phần DRH Holdings,STO
1479,DRG,UPCOM,STOCK,Cao su Đắk Lắk,Công ty Cổ phần Cao su Đắk Lắk,UPX
1480,DRC,HSX,STOCK,Cao su Đà Nẵng,Công ty Cổ phần Cao su Đà Nẵng,STO
1481,DQC,HSX,STOCK,Tập đoàn Điện Quang,Công ty Cổ phần Tập đoàn Điện Quang,STO
1482,DPS,UPCOM,STOCK,Đầu tư Phát triển Sóc Sơn,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,UPX
1483,DPR,HSX,STOCK,Cao su Đồng Phú,Công ty Cổ phần Cao su Đồng Phú,STO
1484,DPP,UPCOM,STOCK,Dược Đồng Nai,Công ty Cổ phần Dược Đồng Nai,UPX
1485,DPM,HSX,STOCK,Tổng Công ty Phân bón và Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,STO
1486,DPH,UPCOM,STOCK,Dược phẩm Hải Phòng,Công ty Cổ phần Dược phẩm Hải Phòng,UPX
1487,DPG,HSX,STOCK,Tập đoàn Đạt Phương,Công ty Cổ phần Tập đoàn Đạt Phương,STO
1488,DPD,DELISTED,STOCK,Cao su Đồng Phú Đắk Nông,Công ty cổ phần Cao su Đồng Phú - Đắk Nông,
1489,DPC,UPCOM,STOCK,Nhựa Đà Nẵng,Công ty Cổ phần Nhựa Đà Nẵng,UPX
1490,DP3,HNX,STOCK,Dược Phẩm TW3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,STX
1491,DP2,UPCOM,STOCK,Dược phẩm TW 2,Công ty Cổ phần Dược phẩm Trung ương 2,UPX
1492,DP1,UPCOM,STOCK,Dược phẩm Trung ương CPC1,Công ty Cổ phần Dược phẩm Trung ương CPC1,UPX
1493,DOP,UPCOM,STOCK,Vận tải XD Đồng Tháp,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,UPX
1494,DOC,UPCOM,STOCK,Vật tư nông nghiệp Đồng Nai,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,UPX
1495,DNW,UPCOM,STOCK,Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,UPX
1496,DNT,UPCOM,STOCK,Du lịch Đồng Nai,Công ty Cổ phần Du lịch Đồng Nai,UPX
1497,DNP,HNX,STOCK,DNP Holding,Công ty Cổ phần DNP Holding,STX
1498,DNN,UPCOM,STOCK,Cấp nước Đà Nẵng,Công ty Cổ phần Cấp nước Đà Nẵng,UPX
1499,DNM,UPCOM,STOCK,Y tế Danameco,Tổng Công ty Cổ phần Y tế Danameco,UPX
1500,DNL,UPCOM,STOCK,Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,UPX
1501,DNH,UPCOM,STOCK,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,UPX
1502,DNE,UPCOM,STOCK,Môi trường Đô thị Đà Nẵng,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,UPX
1503,DND,UPCOM,STOCK,XD và Vật liệu Đồng Nai,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,UPX
1504,DNC,HNX,STOCK,Điện nước Hải Phòng,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,STX
1505,DNB,DELISTED,STOCK,,,
1506,DNA,UPCOM,STOCK,Điện nước An Giang,Công ty Cổ phần Điện nước An Giang,UPX
1507,DMS,UPCOM,STOCK,Dầu khí DMC-miền Nam,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,UPX
1508,DMN,UPCOM,STOCK,Domenal,Công ty Cổ phần Domenal,UPX
1509,DMC,HSX,STOCK,Dược phẩm DOMESCO,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,STO
1510,DM7,UPCOM,STOCK,Dệt may 7,Công ty Cổ phần Dệt may 7,UPX
1511,DLT,UPCOM,STOCK,Du lịch và TM - Vinacomin,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,UPX
1512,DLR,UPCOM,STOCK,Địa ốc Đà Lạt,Công ty Cổ phần Địa ốc Đà Lạt,UPX
1513,DLM,DELISTED,STOCK,Chiếu sáng công cộng Đà Nẵng,Công ty Cổ phần Chiếu sáng công cộng Đà Nẵng,
1514,DLG,HSX,STOCK,Đức Long Gia Lai,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,STO
1515,DLD,UPCOM,STOCK,Du lịch Đắk Lắk,Công ty Cổ phần Du lịch Đắk Lắk,UPX
1516,DL1,HNX,STOCK,Tập đoàn Alpha 7,Công ty Cổ phần Tập đoàn Alpha Seven,STX
1517,DKW,UPCOM,STOCK,Cấp nước sinh hoạt Châu Thành,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,UPX
1518,DKH,DELISTED,STOCK,,,
1519,DKG,UPCOM,STOCK,Tập đoàn DamiK,Công ty Cổ Phần Tập đoàn DamiK,UPX
1520,DKC,UPCOM,STOCK,Chợ Lạng Sơn,Công ty Cổ phần Chợ Lạng Sơn,UPX
1521,DIH,HNX,STOCK,PT Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,STX
1522,DIG,HSX,STOCK,DIC Corp,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,STO
1523,DID,UPCOM,STOCK,DIC - Đồng Tiến,Công ty Cổ phần DIC - Đồng Tiến,UPX
1524,DIC,UPCOM,STOCK,ĐT và TM DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,UPX
1525,DHT,HNX,STOCK,Dược phẩm Hà Tây,Công ty Cổ phần Dược phẩm Hà Tây,STX
1526,DHP,HNX,STOCK,Điện cơ Hải Phòng,Công ty Cổ phần Điện cơ Hải Phòng,STX
1527,DHN,UPCOM,STOCK,Dược Hà Nội,Công ty Cổ phần Dược phẩm Hà Nội,UPX
1528,DHM,HSX,STOCK,Khoáng sản Dương Hiếu,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,STO
1529,DHG,HSX,STOCK,Dược Hậu Giang,Công ty Cổ phần Dược Hậu Giang,STO
1530,DHD,UPCOM,STOCK,Dược Vật Tư Y Tế Hải Dương,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,UPX
1531,DHC,HSX,STOCK,Đông Hải Bến Tre,Công ty Cổ phần Đông Hải Bến Tre,STO
1532,DHB,UPCOM,STOCK,Đạm Hà Bắc,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,UPX
1533,DHA,HSX,STOCK,Hóa An,Công ty Cổ phần Hóa An,STO
1534,DGW,HSX,STOCK,Thế Giới Số,Công ty Cổ phần Thế Giới Số,STO
1535,DGT,UPCOM,STOCK,Công trình GT Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,UPX
1536,DGC,HSX,STOCK,Hóa chất Đức Giang,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,STO
1537,DFF,UPCOM,STOCK,Tập đoàn Đua Fat,Công ty Cổ phần Tập đoàn Đua Fat,UPX
1538,DFC,UPCOM,STOCK,Xích líp Đông Anh,Công ty Cổ phần Xích líp Đông Anh,UPX
1539,DDV,UPCOM,STOCK,DAP - Vinachem,Công ty Cổ phần DAP - Vinachem,UPX
1540,DDN,UPCOM,STOCK,Dược - TB Y tế Đà Nẵng,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,UPX
